,cl /Od T1.c,cl /Ox T1.c,cl /Od T2.c,cl /Ox T2.c,cl /Od T3.cpp,cl /Ox T3.cpp,cl /Od T4.cpp,cl /Ox T4.cpp,ifort /Od T5.f90,ifort /O3 T5.f90,ifort /Od T6.f90,ifort /O3 T6.f90
,0.593,0.343,0.593,0.343,1.233,0.234,1.279,0.249,0.7644049,0.3276021,0.936006,0.2964019
,0.593,0.358,0.64,0.343,1.232,0.219,1.279,0.28,0.7332047,0.2808018,1.0296066,0.312002
,0.593,0.328,0.577,0.343,1.233,0.218,1.295,0.218,0.6396041,0.2964019,0.8736056,0.2964019
,0.608,0.358,0.655,0.343,1.217,0.218,1.28,0.249,0.6396041,0.2808018,0.8736056,0.2808018
,0.577,0.328,0.578,0.312,1.233,0.234,1.28,0.249,0.6396041,0.2964019,0.8580055,0.2964019
,0.593,0.343,0.608,0.343,1.233,0.218,1.28,0.265,0.6552042,0.2964019,0.8736056,0.2964019
,0.593,0.343,0.593,0.327,1.248,0.234,1.295,0.265,0.6396041,0.2964019,0.8580055,0.2964019
,0.593,0.359,0.608,0.327,1.248,0.218,1.28,0.281,0.6396041,0.2808018,0.8736056,0.2964019
,0.577,0.327,0.593,0.343,1.232,0.234,1.295,0.234,0.6396041,0.2652017,0.8580055,0.2964019
,0.593,0.359,0.609,0.328,1.232,0.202,1.295,0.234,0.6396041,0.2964019,0.8580055,0.2808018
AVG,0.5913,0.3446,0.6054,0.3352,1.2341,0.2229,1.2858,0.2524,0.66300425,0.29172187,0.8892057,0.29484189
,,,,,,,,,,,,
,gcc -O0 T1.c,gcc -O3 T1.c,gcc -std=c99 -O0 T2.c,gcc -std=c99 -O3 T2.c,g++ -O0 T3.cpp,g++ -O3 T3.cpp,g++ -std=c++11 -O0 T4.cpp,g++ -std=c++11 -O3 T4.cpp,ifort -O0 T5.f90,ifort -O3 T5.f90,ifort -O0 T6.f90,ifort -O3 T6.f90
,0.75,0.35,0.75,0.35,1.09,0.22,2.43,0.22,0.940058,0.368022,1.000063,0.340021
,0.76,0.35,0.75,0.34,1.09,0.23,2.2,0.22,0.936059,0.376023,1.000062,0.340021
,0.75,0.35,0.76,0.35,1.1,0.22,2.19,0.22,0.940058,0.372023,1.004063,0.336022
,0.75,0.34,0.76,0.33,1.1,0.22,2.2,0.22,0.93606,0.372024,1.004063,0.336021
,0.76,0.35,0.77,0.35,1.1,0.22,2.19,0.21,0.936058,0.372023,1.000062,0.340021
,0.76,0.34,0.76,0.36,1.1,0.23,2.22,0.22,0.936059,0.376023,1.004062,0.340021
,0.75,0.35,0.76,0.35,1.1,0.22,2.24,0.23,0.936058,0.372023,1.004063,0.340021
,0.76,0.34,0.75,0.36,1.09,0.22,2.22,0.22,0.936059,0.372023,1.004062,0.340022
,0.75,0.34,0.76,0.34,1.1,0.22,2.2,0.22,0.940059,0.372024,1.004063,0.336021
,0.76,0.34,0.75,0.36,1.1,0.22,2.24,0.22,0.94006,0.372023,1.004063,0.332021
AVG,0.755,0.345,0.757,0.349,1.097,0.222,2.233,0.22,0.9376588,0.3724231,1.0028626,0.3380212
